time,connect,request 
0,6.378,414.187 
10,6.378,1328.011 
20,7.01,6570.521 
30,20.953,16075.078 
40,24.225,20296.934 
50,54.44,23568.649 
60,54.44,27384.946 
70,54.44,31044.469 
80,54.44,36915.157 
90,54.44,44491.7 
100,54.44,52901.749 
110,54.44,60011.022 
120,54.44,60011.022 
130,54.44,60011.022 
140,54.44,60011.022 
150,54.44,60011.022 
160,54.44,60011.022 
170,54.44,60011.022 
180,54.44,60011.022 
190,54.44,60011.022 
200,54.44,60011.022 
210,54.44,60011.022 
220,54.44,60011.022 
230,54.44,60011.022 
240,54.44,60011.022 
250,54.44,60011.022 
260,54.44,60011.022 
270,54.44,60011.022 
280,54.44,60011.022 
290,54.44,60011.022 
300,54.44,60011.022 
310,54.44,60011.022 
320,54.44,60011.022 
330,54.44,60011.022 
340,54.44,60011.022 
350,54.44,60011.022 
360,54.44,60011.022 
370,54.44,60011.022 
380,54.44,60011.022 
390,54.44,60011.312 
400,54.44,60011.312 
410,54.44,60011.312 
420,54.44,60011.312 
421,54.44,60011.312 
