time,load@tsung_controller@ip-172-31-32-26 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.078125 
60,0.37890625 
70,0.5390625 
80,0.44921875 
90,0.46875 
100,0.390625 
110,0.328125 
120,0.28125 
130,0.23828125 
140,0.19921875 
150,0.171875 
160,0.140625 
170,0.12109375 
180,0.1015625 
190,0.078125 
200,0.0703125 
210,0.05859375 
220,0.05078125 
230,0.0390625 
240,0.0390625 
250,0.03125 
260,0.01953125 
270,0.08984375 
280,0.078125 
290,0.0703125 
300,0.05859375 
310,0.05078125 
320,0.0390625 
330,0.03125 
340,0.03125 
350,0.01953125 
360,0.01953125 
370,0.01953125 
380,0.01171875 
390,0.01171875 
400,0.01171875 
410,0.01171875 
420,0.0 
