time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,3727,953,479 
50,5697,1559,712 
60,5757,1570,791 
70,5769,1572,821 
80,5778,1573,835 
90,5778,1573,836 
100,5779,1573,837 
110,5779,1573,837 
120,5779,1573,837 
130,5779,1573,837 
140,5779,1573,837 
150,5779,1573,837 
160,5779,1573,837 
170,5779,1573,837 
180,5779,1573,837 
190,5779,1573,837 
200,5779,1573,837 
210,5779,1573,837 
220,5779,1573,837 
230,5779,1573,837 
240,5779,1573,837 
250,5779,1573,837 
260,5779,1573,837 
270,5779,1573,837 
280,5779,1573,837 
287,5779,1573,837 
