time,size_sent,size_rcv 
0,7.64609375,72.56796875 
10,60.89609375,572.90703125 
20,204.82265625,1570.26640625 
30,356.55390625,2445.3515625 
40,1408.25546875,4510.41484375 
50,3572.62421875,6609.2703125 
60,5946.48984375,7685.62578125 
70,7451.95078125,8031.68984375 
80,8233.95859375,8382.71875 
90,8615.90859375,9058.4125 
100,9048.62890625,12481.5421875 
110,9947.01953125,18960.79375 
120,10477.17890625,21862.97734375 
130,10573.7875,22317.85390625 
140,10582.6671875,22361.6234375 
142,10582.6671875,22361.6234375 
