time,size_sent,size_rcv 
0,10.4234375,71.76328125 
10,56.72890625,353.87265625 
20,101.578125,559.01953125 
30,188.0390625,869.653125 
40,1069.45,688.31640625 
50,2340.825,531.4546875 
60,1965.87265625,1495.23125 
70,1574.72734375,816.196875 
80,1013.1265625,1338.5921875 
90,604.58984375,2762.415625 
100,424.47421875,3059.74375 
110,358.98359375,2590.5765625 
120,213.85390625,1827.165625 
130,157.82265625,1452.46015625 
140,154.71796875,1446.8296875 
150,142.79296875,1213.6359375 
160,69.04296875,894.24375 
170,80.72578125,1043.0703125 
180,9.015625,216.52109375 
190,41.1828125,1400.90625 
192,1.76015625,2.4734375 
